Year_and_month,Industry,Salary
1994-07-01,Industry_and_services,31474
1994-08-01,Industry_and_services,30995
1994-09-01,Industry_and_services,31594
1994-10-01,Industry_and_services,30666
1994-11-01,Industry_and_services,30968
1994-12-01,Industry_and_services,35076
1995-01-01,Industry_and_services,66922
1995-02-01,Industry_and_services,32295
1995-03-01,Industry_and_services,31431
1995-04-01,Industry_and_services,31355
1995-05-01,Industry_and_services,32603
1995-06-01,Industry_and_services,32288
1995-07-01,Industry_and_services,32821
1995-08-01,Industry_and_services,32869
1995-09-01,Industry_and_services,32761
1995-10-01,Industry_and_services,32049
1995-11-01,Industry_and_services,31963
1995-12-01,Industry_and_services,35145
1996-01-01,Industry_and_services,40051
1996-02-01,Industry_and_services,60728
1996-03-01,Industry_and_services,33209
1996-04-01,Industry_and_services,32872
1996-05-01,Industry_and_services,33136
1996-06-01,Industry_and_services,34075
1996-07-01,Industry_and_services,34256
1996-08-01,Industry_and_services,33660
1996-09-01,Industry_and_services,34364
1996-10-01,Industry_and_services,33594
1996-11-01,Industry_and_services,33322
1996-12-01,Industry_and_services,36387
1997-01-01,Industry_and_services,58162
1997-02-01,Industry_and_services,49204
1997-03-01,Industry_and_services,34469
1997-04-01,Industry_and_services,34686
1997-05-01,Industry_and_services,35019
1997-06-01,Industry_and_services,35666
1997-07-01,Industry_and_services,36169
1997-08-01,Industry_and_services,35150
1997-09-01,Industry_and_services,35419
1997-10-01,Industry_and_services,34774
1997-11-01,Industry_and_services,34485
1997-12-01,Industry_and_services,38565
1998-01-01,Industry_and_services,76755
1998-02-01,Industry_and_services,37384
1998-03-01,Industry_and_services,35444
1998-04-01,Industry_and_services,35596
1998-05-01,Industry_and_services,36433
1998-06-01,Industry_and_services,35564
1998-07-01,Industry_and_services,36866
1998-08-01,Industry_and_services,35713
1998-09-01,Industry_and_services,36009
1998-10-01,Industry_and_services,35437
1998-11-01,Industry_and_services,34875
1998-12-01,Industry_and_services,38909
1999-01-01,Industry_and_services,48361
1999-02-01,Industry_and_services,64535
1999-03-01,Industry_and_services,36255
1999-04-01,Industry_and_services,36385
1999-05-01,Industry_and_services,37005
1999-06-01,Industry_and_services,38061
1999-07-01,Industry_and_services,37961
1999-08-01,Industry_and_services,37847
1999-09-01,Industry_and_services,37916
1999-10-01,Industry_and_services,36751
1999-11-01,Industry_and_services,36618
1999-12-01,Industry_and_services,42087
2000-01-01,Industry_and_services,66080
2000-02-01,Industry_and_services,52127
2000-03-01,Industry_and_services,37819
2000-04-01,Industry_and_services,37561
2000-05-01,Industry_and_services,37817
2000-06-01,Industry_and_services,38827
2000-07-01,Industry_and_services,38825
2000-08-01,Industry_and_services,37896
2000-09-01,Industry_and_services,38470
2000-10-01,Industry_and_services,37722
2000-11-01,Industry_and_services,36953
2000-12-01,Industry_and_services,42018
2001-01-01,Industry_and_services,76318
2001-02-01,Industry_and_services,39113
2001-03-01,Industry_and_services,38310
2001-04-01,Industry_and_services,37474
2001-05-01,Industry_and_services,37762
2001-06-01,Industry_and_services,39322
2001-07-01,Industry_and_services,38801
2001-08-01,Industry_and_services,39665
2001-09-01,Industry_and_services,38318
2001-10-01,Industry_and_services,38665
2001-11-01,Industry_and_services,37313
2001-12-01,Industry_and_services,41355
2002-01-01,Industry_and_services,53928
2002-02-01,Industry_and_services,55848
2002-03-01,Industry_and_services,38293
2002-04-01,Industry_and_services,38656
2002-05-01,Industry_and_services,38765
2002-06-01,Industry_and_services,39135
2002-07-01,Industry_and_services,38782
2002-08-01,Industry_and_services,39421
2002-09-01,Industry_and_services,39599
2002-10-01,Industry_and_services,37501
2002-11-01,Industry_and_services,37214
2002-12-01,Industry_and_services,41612
2003-01-01,Industry_and_services,73052
2003-02-01,Industry_and_services,39404
2003-03-01,Industry_and_services,37955
2003-04-01,Industry_and_services,38312
2003-05-01,Industry_and_services,38853
2003-06-01,Industry_and_services,38339
2003-07-01,Industry_and_services,38878
2003-08-01,Industry_and_services,39697
2003-09-01,Industry_and_services,40673
2003-10-01,Industry_and_services,38295
2003-11-01,Industry_and_services,38141
2003-12-01,Industry_and_services,43426
2004-01-01,Industry_and_services,75922
2004-02-01,Industry_and_services,39578
2004-03-01,Industry_and_services,38950
2004-04-01,Industry_and_services,38739
2004-05-01,Industry_and_services,38842
2004-06-01,Industry_and_services,39954
2004-07-01,Industry_and_services,39857
2004-08-01,Industry_and_services,41079
2004-09-01,Industry_and_services,40129
2004-10-01,Industry_and_services,38735
2004-11-01,Industry_and_services,38460
2004-12-01,Industry_and_services,42703
2005-01-01,Industry_and_services,65046
2005-02-01,Industry_and_services,55615
2005-03-01,Industry_and_services,39101
2005-04-01,Industry_and_services,38799
2005-05-01,Industry_and_services,38985
2005-06-01,Industry_and_services,40011
2005-07-01,Industry_and_services,39708
2005-08-01,Industry_and_services,40947
2005-09-01,Industry_and_services,40282
2005-10-01,Industry_and_services,38555
2005-11-01,Industry_and_services,38558
2005-12-01,Industry_and_services,42701
2006-01-01,Industry_and_services,82095
2006-02-01,Industry_and_services,39976
2006-03-01,Industry_and_services,39073
2006-04-01,Industry_and_services,39425
2006-05-01,Industry_and_services,40352
2006-06-01,Industry_and_services,39566
2006-07-01,Industry_and_services,39783
2006-08-01,Industry_and_services,41257
2006-09-01,Industry_and_services,39934
2006-10-01,Industry_and_services,39581
2006-11-01,Industry_and_services,38815
2006-12-01,Industry_and_services,42479
2007-01-01,Industry_and_services,48933
2007-02-01,Industry_and_services,74818
2007-03-01,Industry_and_services,39627
2007-04-01,Industry_and_services,39466
2007-05-01,Industry_and_services,40518
2007-06-01,Industry_and_services,40852
2007-07-01,Industry_and_services,41544
2007-08-01,Industry_and_services,41493
2007-09-01,Industry_and_services,42695
2007-10-01,Industry_and_services,39756
2007-11-01,Industry_and_services,39618
2007-12-01,Industry_and_services,43982
2008-01-01,Industry_and_services,65800
2008-02-01,Industry_and_services,59666
2008-03-01,Industry_and_services,40313
2008-04-01,Industry_and_services,40236
2008-05-01,Industry_and_services,40603
2008-06-01,Industry_and_services,41230
2008-07-01,Industry_and_services,42742
2008-08-01,Industry_and_services,41467
2008-09-01,Industry_and_services,41376
2008-10-01,Industry_and_services,39596
2008-11-01,Industry_and_services,38194
2008-12-01,Industry_and_services,41912
2009-01-01,Industry_and_services,68190
2009-02-01,Industry_and_services,41207
2009-03-01,Industry_and_services,38646
2009-04-01,Industry_and_services,38988
2009-05-01,Industry_and_services,39816
2009-06-01,Industry_and_services,38306
2009-07-01,Industry_and_services,39758
2009-08-01,Industry_and_services,39638
2009-09-01,Industry_and_services,40682
2009-10-01,Industry_and_services,39972
2009-11-01,Industry_and_services,39196
2009-12-01,Industry_and_services,42972
2010-01-01,Industry_and_services,54041
2010-02-01,Industry_and_services,67524
2010-03-01,Industry_and_services,40904
2010-04-01,Industry_and_services,40427
2010-05-01,Industry_and_services,41310
2010-06-01,Industry_and_services,41787
2010-07-01,Industry_and_services,41748
2010-08-01,Industry_and_services,40602
2010-09-01,Industry_and_services,43306
2010-10-01,Industry_and_services,40267
2010-11-01,Industry_and_services,39857
2010-12-01,Industry_and_services,44655
2011-01-01,Industry_and_services,83406
2011-02-01,Industry_and_services,46182
2011-03-01,Industry_and_services,41097
2011-04-01,Industry_and_services,40994
2011-05-01,Industry_and_services,42357
2011-06-01,Industry_and_services,41992
2011-07-01,Industry_and_services,42878
2011-08-01,Industry_and_services,42696
2011-09-01,Industry_and_services,43571
2011-10-01,Industry_and_services,40889
2011-11-01,Industry_and_services,40122
2011-12-01,Industry_and_services,45947
2012-01-01,Industry_and_services,84305
2012-02-01,Industry_and_services,42445
2012-03-01,Industry_and_services,41583
2012-04-01,Industry_and_services,41711
2012-05-01,Industry_and_services,42150
2012-06-01,Industry_and_services,43138
2012-07-01,Industry_and_services,42646
2012-08-01,Industry_and_services,42014
2012-09-01,Industry_and_services,44251
2012-10-01,Industry_and_services,41159
2012-11-01,Industry_and_services,40244
2012-12-01,Industry_and_services,47975
2013-01-01,Industry_and_services,60705
2013-02-01,Industry_and_services,62943
2013-03-01,Industry_and_services,41823
2013-04-01,Industry_and_services,42137
2013-05-01,Industry_and_services,42627
2013-06-01,Industry_and_services,43104
2013-07-01,Industry_and_services,43499
2013-08-01,Industry_and_services,42791
2013-09-01,Industry_and_services,43623
2013-10-01,Industry_and_services,42458
2013-11-01,Industry_and_services,41838
2013-12-01,Industry_and_services,46832
2014-01-01,Industry_and_services,89138
2014-02-01,Industry_and_services,42260
2014-03-01,Industry_and_services,43150
2014-04-01,Industry_and_services,42810
2014-05-01,Industry_and_services,45049
2014-06-01,Industry_and_services,43036
2014-07-01,Industry_and_services,46470
2014-08-01,Industry_and_services,45093
2014-09-01,Industry_and_services,44915
2014-10-01,Industry_and_services,42696
2014-11-01,Industry_and_services,42907
2014-12-01,Industry_and_services,46905
2015-01-01,Industry_and_services,52603
2015-02-01,Industry_and_services,87499
2015-03-01,Industry_and_services,43470
2015-04-01,Industry_and_services,43806
2015-05-01,Industry_and_services,44354
2015-06-01,Industry_and_services,45138
2015-07-01,Industry_and_services,47580
2015-08-01,Industry_and_services,45412
2015-09-01,Industry_and_services,45305
2015-10-01,Industry_and_services,43348
2015-11-01,Industry_and_services,42994
2015-12-01,Industry_and_services,47195
2016-01-01,Industry_and_services,76105
2016-02-01,Industry_and_services,59986
2016-03-01,Industry_and_services,44276
2016-04-01,Industry_and_services,43998
2016-05-01,Industry_and_services,46347
2016-06-01,Industry_and_services,45546
2016-07-01,Industry_and_services,47336
2016-08-01,Industry_and_services,46124
2016-09-01,Industry_and_services,45770
2016-10-01,Industry_and_services,43525
2016-11-01,Industry_and_services,44281
2016-12-01,Industry_and_services,48122
2017-01-01,Industry_and_services,93971
2017-02-01,Industry_and_services,46137
2017-03-01,Industry_and_services,44583
2017-04-01,Industry_and_services,44819
2017-05-01,Industry_and_services,49443
2017-06-01,Industry_and_services,45193
2017-07-01,Industry_and_services,48688
2017-08-01,Industry_and_services,46806
2017-09-01,Industry_and_services,46366
2017-10-01,Industry_and_services,45053
2017-11-01,Industry_and_services,45579
2017-12-01,Industry_and_services,49458
2018-01-01,Industry_and_services,59572
2018-02-01,Industry_and_services,87048
2018-03-01,Industry_and_services,46578
2018-04-01,Industry_and_services,46039
2018-05-01,Industry_and_services,48139
2018-06-01,Industry_and_services,48501
2018-07-01,Industry_and_services,51710
2018-08-01,Industry_and_services,49714
2018-09-01,Industry_and_services,48102
2018-10-01,Industry_and_services,45933
2018-11-01,Industry_and_services,46937
2018-12-01,Industry_and_services,50869
2019-01-01,Industry_and_services,94136
2019-02-01,Industry_and_services,54259
2019-03-01,Industry_and_services,46432
2019-04-01,Industry_and_services,47766
2019-05-01,Industry_and_services,50299
2019-06-01,Industry_and_services,48595
2019-07-01,Industry_and_services,53133
2019-08-01,Industry_and_services,50956
2019-09-01,Industry_and_services,49325
2019-10-01,Industry_and_services,46865
2019-11-01,Industry_and_services,47930
2019-12-01,Industry_and_services,54310
2020-01-01,Industry_and_services,99084
2020-02-01,Industry_and_services,49559
2020-03-01,Industry_and_services,47884
2020-04-01,Industry_and_services,48067
2020-05-01,Industry_and_services,49559
2020-06-01,Industry_and_services,50526
2020-07-01,Industry_and_services,55505
1980-01-01,Industrial,7606
1980-02-01,Industrial,9548
1980-03-01,Industrial,7284
1980-04-01,Industrial,7454
1980-05-01,Industrial,7686
1980-06-01,Industrial,7921
1980-07-01,Industrial,8129
1980-08-01,Industrial,8211
1980-09-01,Industrial,8355
1980-10-01,Industrial,8544
1980-11-01,Industrial,8617
1980-12-01,Industrial,9069
1981-01-01,Industrial,10343
1981-02-01,Industrial,9594
1981-03-01,Industrial,9146
1981-04-01,Industrial,9389
1981-05-01,Industrial,9635
1981-06-01,Industrial,9629
1981-07-01,Industrial,9852
1981-08-01,Industrial,9979
1981-09-01,Industrial,10173
1981-10-01,Industrial,10310
1981-11-01,Industrial,10282
1981-12-01,Industrial,10597
1982-01-01,Industrial,12241
1982-02-01,Industrial,10544
1982-03-01,Industrial,10421
1982-04-01,Industrial,10454
1982-05-01,Industrial,10612
1982-06-01,Industrial,10656
1982-07-01,Industrial,10600
1982-08-01,Industrial,10558
1982-09-01,Industrial,10706
1982-10-01,Industrial,10700
1982-11-01,Industrial,10663
1982-12-01,Industrial,11097
1983-01-01,Industrial,11158
1983-02-01,Industrial,11236
1983-03-01,Industrial,11031
1983-04-01,Industrial,11100
1983-05-01,Industrial,11408
1983-06-01,Industrial,11535
1983-07-01,Industrial,11450
1983-08-01,Industrial,11608
1983-09-01,Industrial,11795
1983-10-01,Industrial,11694
1983-11-01,Industrial,11629
1983-12-01,Industrial,12139
1984-01-01,Industrial,13714
1984-02-01,Industrial,11554
1984-03-01,Industrial,12227
1984-04-01,Industrial,12256
1984-05-01,Industrial,12478
1984-06-01,Industrial,12346
1984-07-01,Industrial,12628
1984-08-01,Industrial,12450
1984-09-01,Industrial,12499
1984-10-01,Industrial,12609
1984-11-01,Industrial,12590
1984-12-01,Industrial,13156
1985-01-01,Industrial,13079
1985-02-01,Industrial,14201
1985-03-01,Industrial,12611
1985-04-01,Industrial,12629
1985-05-01,Industrial,12729
1985-06-01,Industrial,13294
1985-07-01,Industrial,13101
1985-08-01,Industrial,12773
1985-09-01,Industrial,12910
1985-10-01,Industrial,13049
1985-11-01,Industrial,13100
1985-12-01,Industrial,13726
1986-01-01,Industrial,16434
1986-02-01,Industrial,15207
1986-03-01,Industrial,13514
1986-04-01,Industrial,13513
1986-05-01,Industrial,13788
1986-06-01,Industrial,13926
1986-07-01,Industrial,14037
1986-08-01,Industrial,13715
1986-09-01,Industrial,14002
1986-10-01,Industrial,14030
1986-11-01,Industrial,13892
1986-12-01,Industrial,14999
1987-01-01,Industrial,22333
1987-02-01,Industrial,13745
1987-03-01,Industrial,14468
1987-04-01,Industrial,14571
1987-05-01,Industrial,14909
1987-06-01,Industrial,14713
1987-07-01,Industrial,15170
1987-08-01,Industrial,15019
1987-09-01,Industrial,15216
1987-10-01,Industrial,15392
1987-11-01,Industrial,15170
1987-12-01,Industrial,16062
1988-01-01,Industrial,17655
1988-02-01,Industrial,22730
1988-03-01,Industrial,15822
1988-04-01,Industrial,15926
1988-05-01,Industrial,16178
1988-06-01,Industrial,16440
1988-07-01,Industrial,16644
1988-08-01,Industrial,16645
1988-09-01,Industrial,17163
1988-10-01,Industrial,16971
1988-11-01,Industrial,17173
1988-12-01,Industrial,18085
1989-01-01,Industrial,26086
1989-02-01,Industrial,22607
1989-03-01,Industrial,18067
1989-04-01,Industrial,18032
1989-05-01,Industrial,18494
1989-06-01,Industrial,18565
1989-07-01,Industrial,18785
1989-08-01,Industrial,19130
1989-09-01,Industrial,19271
1989-10-01,Industrial,19612
1989-11-01,Industrial,19344
1989-12-01,Industrial,20911
1990-01-01,Industrial,38241
1990-02-01,Industrial,19802
1990-03-01,Industrial,20218
1990-04-01,Industrial,20389
1990-05-01,Industrial,20973
1990-06-01,Industrial,20567
1990-07-01,Industrial,21460
1990-08-01,Industrial,21437
1990-09-01,Industrial,21847
1990-10-01,Industrial,22001
1990-11-01,Industrial,21847
1990-12-01,Industrial,23070
1991-01-01,Industrial,27498
1991-02-01,Industrial,38983
1991-03-01,Industrial,22292
1991-04-01,Industrial,22700
1991-05-01,Industrial,24056
1991-06-01,Industrial,23419
1991-07-01,Industrial,23961
1991-08-01,Industrial,23686
1991-09-01,Industrial,24208
1991-10-01,Industrial,24153
1991-11-01,Industrial,24036
1991-12-01,Industrial,25483
1992-01-01,Industrial,45171
1992-02-01,Industrial,29280
1992-03-01,Industrial,24879
1992-04-01,Industrial,24933
1992-05-01,Industrial,26523
1992-06-01,Industrial,25409
1992-07-01,Industrial,25932
1992-08-01,Industrial,25954
1992-09-01,Industrial,26001
1992-10-01,Industrial,26185
1992-11-01,Industrial,26326
1992-12-01,Industrial,28680
1993-01-01,Industrial,53875
1993-02-01,Industrial,26623
1993-03-01,Industrial,26818
1993-04-01,Industrial,26992
1993-05-01,Industrial,28057
1993-06-01,Industrial,27756
1993-07-01,Industrial,27896
1993-08-01,Industrial,27561
1993-09-01,Industrial,28792
1993-10-01,Industrial,28302
1993-11-01,Industrial,27854
1993-12-01,Industrial,30105
1994-01-01,Industrial,42777
1994-02-01,Industrial,42381
1994-03-01,Industrial,28629
1994-04-01,Industrial,28871
1994-05-01,Industrial,29338
1994-06-01,Industrial,29696
1994-07-01,Industrial,29795
1994-08-01,Industrial,29214
1994-09-01,Industrial,30044
1994-10-01,Industrial,29579
1994-11-01,Industrial,30094
1994-12-01,Industrial,31804
1995-01-01,Industrial,60887
1995-02-01,Industrial,29737
1995-03-01,Industrial,30232
1995-04-01,Industrial,30140
1995-05-01,Industrial,31365
1995-06-01,Industrial,30356
1995-07-01,Industrial,31044
1995-08-01,Industrial,31267
1995-09-01,Industrial,31186
1995-10-01,Industrial,30944
1995-11-01,Industrial,30941
1995-12-01,Industrial,32780
1996-01-01,Industrial,39047
1996-02-01,Industrial,56299
1996-03-01,Industrial,31726
1996-04-01,Industrial,31728
1996-05-01,Industrial,31752
1996-06-01,Industrial,31964
1996-07-01,Industrial,31913
1996-08-01,Industrial,31601
1996-09-01,Industrial,32458
1996-10-01,Industrial,31936
1996-11-01,Industrial,31962
1996-12-01,Industrial,33713
1997-01-01,Industrial,53799
1997-02-01,Industrial,45007
1997-03-01,Industrial,32359
1997-04-01,Industrial,32590
1997-05-01,Industrial,33148
1997-06-01,Industrial,32986
1997-07-01,Industrial,33552
1997-08-01,Industrial,32976
1997-09-01,Industrial,33920
1997-10-01,Industrial,33731
1997-11-01,Industrial,33525
1997-12-01,Industrial,36874
1998-01-01,Industrial,72986
1998-02-01,Industrial,32499
1998-03-01,Industrial,33392
1998-04-01,Industrial,33668
1998-05-01,Industrial,34708
1998-06-01,Industrial,33857
1998-07-01,Industrial,34146
1998-08-01,Industrial,33171
1998-09-01,Industrial,34470
1998-10-01,Industrial,33732
1998-11-01,Industrial,33346
1998-12-01,Industrial,36492
1999-01-01,Industrial,46796
1999-02-01,Industrial,58785
1999-03-01,Industrial,34604
1999-04-01,Industrial,34403
1999-05-01,Industrial,34976
1999-06-01,Industrial,35831
1999-07-01,Industrial,35334
1999-08-01,Industrial,34911
1999-09-01,Industrial,35389
1999-10-01,Industrial,34941
1999-11-01,Industrial,35249
1999-12-01,Industrial,40053
2000-01-01,Industrial,61057
2000-02-01,Industrial,48458
2000-03-01,Industrial,35931
2000-04-01,Industrial,35800
2000-05-01,Industrial,36470
2000-06-01,Industrial,36235
2000-07-01,Industrial,36525
2000-08-01,Industrial,36003
2000-09-01,Industrial,36459
2000-10-01,Industrial,35937
2000-11-01,Industrial,35446
2000-12-01,Industrial,39770
2001-01-01,Industrial,70530
2001-02-01,Industrial,36186
2001-03-01,Industrial,35519
2001-04-01,Industrial,35493
2001-05-01,Industrial,35494
2001-06-01,Industrial,36017
2001-07-01,Industrial,35795
2001-08-01,Industrial,35341
2001-09-01,Industrial,35991
2001-10-01,Industrial,37606
2001-11-01,Industrial,35003
2001-12-01,Industrial,37994
2002-01-01,Industrial,52486
2002-02-01,Industrial,50166
2002-03-01,Industrial,35356
2002-04-01,Industrial,35799
2002-05-01,Industrial,36729
2002-06-01,Industrial,36566
2002-07-01,Industrial,36680
2002-08-01,Industrial,36075
2002-09-01,Industrial,36692
2002-10-01,Industrial,35685
2002-11-01,Industrial,35327
2002-12-01,Industrial,38882
2003-01-01,Industrial,68827
2003-02-01,Industrial,37071
2003-03-01,Industrial,35825
2003-04-01,Industrial,36023
2003-05-01,Industrial,37649
2003-06-01,Industrial,36185
2003-07-01,Industrial,37020
2003-08-01,Industrial,36979
2003-09-01,Industrial,37603
2003-10-01,Industrial,36882
2003-11-01,Industrial,36623
2003-12-01,Industrial,41810
2004-01-01,Industrial,72458
2004-02-01,Industrial,38000
2004-03-01,Industrial,36969
2004-04-01,Industrial,37349
2004-05-01,Industrial,37841
2004-06-01,Industrial,38842
2004-07-01,Industrial,38672
2004-08-01,Industrial,37318
2004-09-01,Industrial,38380
2004-10-01,Industrial,37301
2004-11-01,Industrial,37232
2004-12-01,Industrial,40483
2005-01-01,Industrial,66077
2005-02-01,Industrial,50538
2005-03-01,Industrial,37281
2005-04-01,Industrial,37379
2005-05-01,Industrial,37671
2005-06-01,Industrial,38697
2005-07-01,Industrial,39315
2005-08-01,Industrial,38028
2005-09-01,Industrial,39096
2005-10-01,Industrial,38319
2005-11-01,Industrial,38296
2005-12-01,Industrial,42303
2006-01-01,Industrial,79005
2006-02-01,Industrial,39632
2006-03-01,Industrial,38282
2006-04-01,Industrial,38331
2006-05-01,Industrial,39655
2006-06-01,Industrial,38667
2006-07-01,Industrial,39653
2006-08-01,Industrial,38790
2006-09-01,Industrial,39383
2006-10-01,Industrial,38966
2006-11-01,Industrial,38587
2006-12-01,Industrial,41617
2007-01-01,Industrial,48447
2007-02-01,Industrial,73066
2007-03-01,Industrial,38732
2007-04-01,Industrial,38410
2007-05-01,Industrial,39333
2007-06-01,Industrial,40055
2007-07-01,Industrial,40176
2007-08-01,Industrial,40792
2007-09-01,Industrial,40710
2007-10-01,Industrial,39137
2007-11-01,Industrial,38877
2007-12-01,Industrial,42888
2008-01-01,Industrial,66005
2008-02-01,Industrial,56990
2008-03-01,Industrial,38972
2008-04-01,Industrial,39185
2008-05-01,Industrial,40389
2008-06-01,Industrial,40218
2008-07-01,Industrial,41195
2008-08-01,Industrial,41077
2008-09-01,Industrial,40873
2008-10-01,Industrial,38724
